nom,region,departement,sous_prefecture,latitude,longitude,population
"Kpindikro","","","","7.6266353","-4.77413",""
"Bopri","","","","7.6308962","-4.780422",""
"Kplonou","","","","7.5716828","-4.7063852",""
"Gbangbossou","","","","7.5410947","-4.819512",""
"Gnrinkiro","","","","7.5236961","-4.8147796",""
"Djamalakro","","","","7.6163403","-4.8250016",""
"Déblékro","","","","6.8704699","-4.4804598",""
"Dida","","","","6.9028564","-4.4716223",""
"Yapi-Kouamékro","","","","7.0519508","-4.297877",""
"Kpebo Ya Koffikro","","","","7.2843832","-4.7170839",""
"Afféré 1","","","","6.9101219","-4.0743964",""
"Allangbakro","","","","6.7530805","-4.4119934",""
"Kouakro","","","","6.6528199","-4.4375659",""
"Adouakouakro","","","","6.607303","-4.428286",""
"Assarékro","","","","6.5592154","-4.4152551",""
"Ehuikro","","","","6.5320761","-4.4170872",""
"Diékadiokro","","","","6.4956033","-4.4106103",""
"Abiati","","","","5.289836","-3.170688",""
"Aby","","","","5.305022","-3.16916",""
"Allakro","","","","5.2816608","-2.9124443",""
"Angboudjou","","","","5.154078","-3.207181",""
"Anze Assahoun","","","","5.115803","-3.180756",""
"Assinie France","","","","5.1266017","-3.2757828",""
"Attiékro","","","","5.255126","-2.974819",""
"Bernoikro","","","","5.271724","-2.97953",""
"Diemissikro","","","","5.265935","-2.974557",""
"Dingakono","","","","5.2078345","-3.0852361",""
"Ebouado Deux","","","","5.154716","-3.259462",""
"Ebouinba","","","","5.151631","-3.112648",""
"Ehania-V2","","","","5.2607039","-2.9731199",""
"Eliman","","","","5.23756","-3.203793",""
"Gaoussoukro","","","","5.248399","-2.971161",""
"Malamalakro","","","","5.243708","-2.97063",""
"Mama","","","","5.123493","-3.170116",""
"Mbonhouin","","","","5.224858","-3.203996",""
"Mbrati","","","","5.156105","-3.14517",""
"Ono","","","","5.1275617","-3.1458866",""
"Allowéuré","","","","5.266374","-3.438851",""
"Assomlan","","","","5.200388","-3.295546",""
"Bobo","","","","5.29399","-3.410689",""
"Dadiékro","","","","5.306813","-3.390022",""
"Djiminikoffikro","","","","5.286721","-3.453532",""
"Etuéssika","","","","5.181431","-3.320432",""
"Fouadé","","","","5.2313953","-3.397596",""
"Galoua","","","","5.198712","-3.306164",""
"Kacoukro","","","","5.296049","-3.377518",""
"Kon","","","","5.219663","-3.387564",""
"Mélékoukro","","","","5.200733","-3.318544",""
"Roa","","","","5.29763","-3.330477",""
"Abdoulayékro","","","","5.535595","-3.559399",""
"Adihao","","","","5.28641","-3.615216",""
"Akroaba Akoudjekoa","","","","5.415202","-3.507017",""
"Amicoukro","","","","5.54986","-3.535534",""
"Bato","","","","5.356887","-3.578815",""
"Galoua","","","","5.323757","-3.474745",""
"Ingarako","","","","5.366219","-3.564545",""
"Kladikro","","","","5.428007","-3.459861",""
"Larabia","","","","5.339079","-3.457405",""
"Onioneouango","","","","5.3335847","-3.5512247",""
"Ono Salci","","","","5.3816057","-3.5631527",""
"Ono 14","","","","5.4582321","-3.4645724",""
"Tchantchévè","","","","5.310973","-3.557198",""
"Vitré Deux","","","","5.278024","-3.800245",""
"Vitré Un","","","","5.241953","-3.77139",""
"Wéhou","","","","5.5239644","-3.4481277",""
"Bénanou","","","","7.0642069","-3.9978987",""
